id,claim,question,claim_answer,summary_answer,answer_note
1,CEBPA is a master regulator of myeloid differentiation that drives hematopoiesis toward the granulocytic (neutrophil) lineage.,Is CEBPA a master regulator directing myeloid differentiation toward the granulocytic (neutrophil) lineage?,Yes,Yes,
2,CEBPA acts as a positive transcriptional regulator during granulocytic differentiation.,Does CEBPA act as a positive transcriptional regulator during granulocytic differentiation?,Yes,Yes,
3,"In APL cell models and AML patient samples during ATRA-mediated neutrophil differentiation, CEBPA activates HK3 transcription, supported by promoter mutational evidence.","During ATRA-mediated neutrophil differentiation, does CEBPA activate HK3 transcription in APL models and AML samples?",Yes,Yes,
4,"In APL cell lines NB4 and HT93 undergoing ATRA-induced neutrophil differentiation, CEBPA is required for HK3 upregulation; CEBPA knockdown reduced HK3 mRNA (including after four days of 1 µM ATRA).","In NB4 and HT93 cells under ATRA, is CEBPA required for HK3 upregulation?",Yes,Idk,Passage doesn't mention NB4 or HT93 specifically.
5,Ectopic CEBPA expression in HT93 cells increased HK3 transcription and mRNA.,"In HT93 cells, does ectopic CEBPA expression increase HK3 transcription and mRNA?",Yes,Idk,Passage lacks HT93/ectopic expression details.
6,"In APL cell models and AML patient samples during ATRA-mediated neutrophil differentiation, CEBPA activates KLF5 expression.","During ATRA-mediated neutrophil differentiation, does CEBPA activate KLF5 expression in APL models and AML samples?",Yes,Yes,
7,"In APL cell lines NB4 and HT93 undergoing ATRA-induced neutrophil differentiation, CEBPA is required for KLF5 upregulation; CEBPA knockdown reduced KLF5 mRNA (including after four days of 1 µM ATRA).","In NB4 and HT93 cells under ATRA, is CEBPA required for KLF5 upregulation?",Yes,Idk,Passage doesn't mention NB4 or HT93 specifically.
8,Ectopic CEBPA expression in HT93 cells increased KLF5 transcription and mRNA.,"In HT93 cells, does ectopic CEBPA expression increase KLF5 transcription and mRNA?",Yes,Idk,Passage lacks HT93/ectopic expression details.
9,CEBPA expression peaks in the granulocyte–monocyte progenitor stage.,Does CEBPA expression peak at the granulocyte–monocyte progenitor stage?,Yes,Idk,Passage doesn't state expression peak timing.
10,CEBPA expression diminishes during terminal granulocyte differentiation.,Does CEBPA expression diminish during terminal granulocyte differentiation?,Yes,Idk,Passage doesn't state change during terminal differentiation.
11,Cebpa-null mice lack neutrophils and eosinophils.,Do Cebpa-null mice lack neutrophils and eosinophils?,Yes,Yes,
12,"In AML, loss of CEBPA expression or CEBPA mutations correlate with significantly lower HK3 mRNA expression, regardless of whether mutations are single or double.","In AML, do CEBPA loss or mutations correlate with significantly lower HK3 mRNA expression?",Yes,Yes,
13,"In AML, loss of CEBPA expression or CEBPA mutations correlate with significantly lower KLF5 mRNA expression, regardless of whether mutations are single or double.","In AML, do CEBPA loss or mutations correlate with significantly lower KLF5 mRNA expression?",Yes,Yes,
